,期数,红球_1,红球_2,红球_3,红球_4,红球_5,蓝球_1,蓝球_2,和值,平均值,尾数和值,奇号个数,偶号个数,奇偶偏差,奇号连续,偶号连续,大号个数,小号个数,大小偏差,尾号组数,AC值,连号个数,连号组数,首尾差,最大间距,同位相同,重号个数,斜号个数
20,07021,02,04,24,29,33,01,02,92,18.40,22,2,3,-1,1,2,3,2,1,4,6,0,0,31,20,1,1,0
21,07022,08,10,12,23,25,03,10,78,15.60,18,2,3,-1,1,2,2,3,-1,5,2,0,0,17,11,0,0,2
22,07023,08,10,23,32,34,08,10,107,21.40,17,1,4,-3,0,2,3,2,1,5,4,0,0,26,13,2,3,0
23,07024,06,16,20,25,31,04,09,98,19.60,18,2,3,-1,1,2,3,2,1,4,6,0,0,25,10,0,0,1
24,07025,22,24,26,27,34,02,10,133,26.60,23,1,4,-3,0,2,5,0,5,4,5,1,1,12,7,0,0,2
25,07026,05,09,13,33,35,01,08,95,19.00,25,5,0,5,4,0,2,3,-1,3,5,0,0,30,20,0,0,2
26,07027,02,03,10,19,27,06,10,61,12.20,21,3,2,1,1,0,2,3,-1,5,4,1,1,25,9,0,0,1
27,07028,20,26,30,34,35,03,10,145,29.00,15,1,4,-3,0,3,5,0,5,4,5,1,1,15,6,0,0,2
28,07029,15,22,25,29,35,09,11,126,25.20,26,4,1,3,2,0,4,1,3,3,4,0,0,20,7,1,1,3
29,07030,11,14,27,33,35,02,07,120,24.00,20,4,1,3,2,0,3,2,1,5,6,0,0,24,13,1,1,1
30,07031,03,21,27,31,32,06,08,114,22.80,14,4,1,3,3,0,4,1,3,4,6,1,1,29,18,1,1,1
31,07032,01,13,21,23,32,04,11,90,18.00,10,4,1,3,3,0,3,2,1,3,6,0,0,31,12,1,2,1
32,07033,01,05,08,14,22,03,12,50,10.00,20,2,3,-1,1,2,1,4,-3,5,6,0,0,21,8,1,1,2
33,07034,06,08,11,13,22,02,11,60,12.00,20,2,3,-1,1,1,1,4,-3,5,4,0,0,16,9,1,2,2
34,07035,07,11,16,31,32,01,12,97,19.40,17,3,2,1,1,0,2,3,-1,4,6,1,1,25,15,0,1,1
35,07036,15,18,21,27,34,01,02,115,23.00,25,3,2,1,1,0,4,1,3,5,4,0,0,19,7,0,0,1
36,07037,01,06,07,17,31,11,12,62,12.40,22,4,1,3,2,0,1,4,-3,3,6,1,1,30,14,0,0,1
37,07038,06,21,25,27,32,08,09,111,22.20,21,3,2,1,2,0,4,1,3,5,6,0,0,26,15,0,1,2
38,07039,10,11,20,21,35,07,11,97,19.40,7,3,2,1,1,0,3,2,1,3,4,2,2,25,14,0,1,1
39,07040,05,21,25,28,35,01,04,114,22.80,24,4,1,3,2,0,4,1,3,3,5,0,0,30,16,1,2,1
40,07041,03,16,17,22,35,01,08,93,18.60,23,3,2,1,0,0,2,3,-1,5,4,1,1,32,13,1,1,1
41,07042,07,10,22,31,35,05,06,105,21.00,15,3,2,1,1,1,3,2,1,5,6,0,0,28,12,1,2,0
42,07043,04,09,22,24,31,02,06,90,18.00,20,2,3,-1,0,1,3,2,1,4,6,0,0,27,13,1,2,1
43,07044,04,05,07,12,26,01,10,54,10.80,24,2,3,-1,1,1,1,4,-3,5,6,1,1,22,14,1,1,1
44,07045,09,16,20,26,35,11,12,106,21.20,26,2,3,-1,0,2,3,2,1,4,6,0,0,26,9,0,1,0
45,07046,04,16,18,23,30,01,10,91,18.20,21,1,4,-3,0,2,3,2,1,5,3,0,0,26,12,1,1,0
46,07047,01,06,15,19,35,02,09,76,15.20,26,4,1,3,2,0,2,3,-1,4,6,0,0,34,16,0,0,2
47,07048,08,25,26,29,35,06,08,123,24.60,33,3,2,1,1,0,4,1,3,4,6,1,1,27,17,1,1,0
48,07049,09,10,15,17,32,04,06,83,16.60,23,3,2,1,1,0,1,4,-3,5,6,1,1,23,15,0,0,1
49,07050,13,21,22,30,35,01,11,121,24.20,11,3,2,1,1,1,4,1,3,5,4,1,1,22,8,0,0,0
50,07051,03,07,24,28,35,08,11,97,19.40,27,3,2,1,1,1,3,2,1,5,4,0,0,32,17,1,1,0
51,07052,01,14,29,32,33,05,10,109,21.80,19,3,2,1,0,0,3,2,1,5,6,1,1,32,15,0,0,1
52,07053,11,16,19,21,25,01,10,92,18.40,22,4,1,3,2,0,3,2,1,4,5,0,0,14,5,0,0,0
53,07054,04,10,19,29,34,03,06,96,19.20,26,2,3,-1,1,1,3,2,1,3,5,0,0,30,10,1,1,1
54,07055,10,16,24,31,33,07,10,114,22.80,14,2,3,-1,1,2,3,2,1,5,6,0,0,23,8,0,1,1
55,07056,04,11,17,20,21,05,09,73,14.60,13,3,2,1,1,0,2,3,-1,4,6,1,1,17,7,0,0,2
56,07057,14,16,30,32,35,06,07,127,25.40,17,1,4,-3,0,3,3,2,1,5,4,0,0,21,14,0,0,1
57,07058,08,21,25,28,33,02,06,115,23.00,25,3,2,1,1,0,4,1,3,4,6,0,0,25,13,0,0,1
58,07059,04,15,23,31,33,03,09,106,21.20,16,4,1,3,3,0,3,2,1,4,5,0,0,29,11,1,1,0
59,07060,12,13,29,30,31,04,07,115,23.00,15,3,2,1,1,0,3,2,1,5,2,3,2,19,16,0,1,1
60,07061,02,10,19,28,29,02,09,88,17.60,28,2,3,-1,0,1,3,2,1,4,5,1,1,27,9,0,1,2
61,07062,01,04,10,14,29,11,12,58,11.60,18,2,3,-1,0,2,1,4,-3,4,6,0,0,28,15,1,2,2
62,07063,10,31,33,34,35,07,12,143,28.60,13,3,2,1,1,0,4,1,3,5,4,2,1,25,21,0,1,0
63,07064,02,16,32,33,35,05,10,118,23.60,18,2,3,-1,1,2,3,2,1,4,6,1,1,33,16,1,2,3
64,07065,19,20,24,29,31,09,10,123,24.60,23,3,2,1,1,1,5,0,5,4,5,1,1,12,5,0,0,1
65,07066,04,07,08,19,24,07,12,62,12.40,32,2,3,-1,0,0,2,3,-1,4,6,1,1,20,11,0,2,1
66,07067,11,18,25,30,31,04,09,115,23.00,15,3,2,1,0,0,4,1,3,4,5,1,1,20,7,0,0,2
67,07068,04,09,13,14,33,06,10,73,14.60,23,3,2,1,1,0,1,4,-3,3,5,1,1,29,19,0,0,0
68,07069,02,13,16,21,35,01,05,87,17.40,17,3,2,1,1,0,2,3,-1,5,4,0,0,33,14,0,1,1
69,07070,07,26,29,30,35,03,04,127,25.40,27,3,2,1,0,0,4,1,3,5,6,1,1,28,19,1,1,0
70,07071,10,22,32,33,35,01,07,132,26.40,12,2,3,-1,1,2,4,1,3,4,6,1,1,25,12,1,1,0
71,07072,21,24,26,27,33,01,05,131,26.20,21,3,2,1,1,1,5,0,5,5,4,1,1,12,6,0,1,2
72,07073,04,05,09,12,23,02,11,53,10.60,23,3,2,1,1,0,1,4,-3,5,6,1,1,19,11,0,0,1
73,07074,16,17,23,24,31,05,10,111,22.20,21,3,2,1,1,0,3,2,1,5,2,2,2,15,7,0,1,1
74,07075,05,11,20,30,32,07,11,98,19.60,8,2,3,-1,1,2,3,2,1,4,6,0,0,27,10,0,0,2
75,07076,02,09,12,15,31,09,10,69,13.80,19,3,2,1,1,0,1,4,-3,4,5,0,0,29,16,0,0,2
76,07077,04,06,12,13,24,01,04,59,11.80,19,1,4,-3,0,2,1,4,-3,4,6,1,1,20,11,1,1,1
77,07078,09,12,14,22,23,01,02,80,16.00,20,2,3,-1,0,2,2,3,-1,4,6,1,1,14,8,0,1,3
78,07079,06,09,25,26,31,02,08,97,19.40,27,3,2,1,1,0,3,2,1,4,6,1,1,25,16,0,1,0
79,07080,01,15,20,25,27,05,10,88,17.60,18,4,1,3,2,0,3,2,1,4,5,0,0,26,14,0,1,2
80,07081,06,18,20,22,35,04,09,101,20.20,21,1,4,-3,0,3,4,1,3,5,5,0,0,29,13,1,1,0
81,07082,03,05,14,33,34,07,08,89,17.80,19,3,2,1,1,0,2,3,-1,3,6,1,1,31,19,0,0,2
82,07083,01,05,20,21,24,03,04,71,14.20,11,3,2,1,1,0,3,2,1,4,4,1,1,23,15,1,1,0
83,07084,05,11,18,29,34,10,11,97,19.40,27,3,2,1,1,0,3,2,1,5,6,0,0,29,11,0,1,0
84,07085,17,24,28,29,33,02,05,131,26.20,31,3,2,1,1,1,4,1,3,5,4,1,1,16,7,1,1,3
85,07086,14,18,19,26,28,03,09,105,21.00,35,1,4,-3,0,2,4,1,3,4,6,1,1,14,7,0,1,2
86,07087,08,18,30,31,33,04,09,120,24.00,20,2,3,-1,1,2,4,1,3,4,6,1,1,25,12,1,1,1
87,07088,17,18,21,23,33,06,10,112,22.40,22,4,1,3,2,0,4,1,3,4,6,1,1,16,10,2,2,1
88,07089,08,13,24,30,34,01,12,109,21.80,19,1,4,-3,0,2,3,2,1,4,6,0,0,26,11,0,0,2
89,07090,04,20,24,31,33,09,12,112,22.40,12,2,3,-1,1,2,4,1,3,4,6,0,0,29,16,1,1,2
90,07091,07,12,26,31,32,03,08,108,21.60,18,2,3,-1,0,1,3,2,1,4,4,1,1,25,14,1,1,1
91,07092,06,19,27,28,29,06,10,109,21.80,39,3,2,1,1,0,4,1,3,4,5,2,1,23,13,0,0,2
92,07093,06,08,16,25,27,08,12,82,16.40,32,2,3,-1,1,2,2,3,-1,4,4,0,0,21,9,1,2,1
93,08001,01,02,11,34,35,03,10,83,16.60,13,3,2,1,0,0,2,3,-1,4,4,2,2,34,23,0,0,0
94,08002,01,12,24,31,32,10,12,100,20.00,10,2,3,-1,0,1,3,2,1,3,6,1,1,31,12,1,1,2
95,08003,01,11,13,32,35,02,07,92,18.40,12,4,1,3,2,0,2,3,-1,4,6,0,0,34,19,1,2,3
96,08004,09,22,24,31,33,08,09,119,23.80,19,3,2,1,1,1,4,1,3,5,4,0,0,24,13,0,0,2
97,08005,18,25,29,31,34,09,10,137,27.40,27,3,2,1,2,0,5,0,5,5,6,0,0,16,7,1,1,2
98,08006,10,12,26,29,34,05,07,111,22.20,21,1,4,-3,0,2,3,2,1,5,6,0,0,24,14,1,2,1
99,08007,03,04,05,12,28,03,12,52,10.40,22,2,3,-1,0,1,1,4,-3,5,5,2,1,25,16,0,1,1
100,08008,02,06,08,17,32,08,09,65,13.00,25,1,4,-3,0,2,1,4,-3,4,5,0,0,30,15,0,0,2
101,08009,04,08,12,24,30,05,08,78,15.60,18,0,5,-5,0,4,2,3,-1,4,5,0,0,26,12,0,1,0
102,08010,06,23,24,27,29,06,08,109,21.80,29,3,2,1,1,0,4,1,3,5,6,1,1,23,17,0,1,2
103,08011,14,20,22,24,27,07,10,107,21.40,17,1,4,-3,0,3,4,1,3,4,5,0,0,13,6,0,2,2
104,08012,02,10,29,32,35,02,03,108,21.60,18,2,3,-1,0,1,3,2,1,4,5,0,0,33,19,0,0,0
105,08013,01,11,19,22,35,05,09,88,17.60,18,4,1,3,2,0,3,2,1,4,6,0,0,34,13,1,1,2
106,08014,04,07,10,28,34,01,06,83,16.60,23,1,4,-3,0,2,2,3,-1,4,3,0,0,30,18,0,0,2
107,08015,09,18,20,27,33,06,09,107,21.40,27,3,2,1,1,1,4,1,3,5,5,0,0,24,9,0,0,3
108,08016,08,10,11,17,19,06,09,65,13.00,25,3,2,1,2,1,1,4,-3,5,4,1,1,11,6,0,0,4
109,08017,02,14,25,29,32,01,06,102,20.40,22,2,3,-1,1,1,3,2,1,4,6,0,0,30,12,0,0,0
110,08018,03,06,07,11,30,02,03,57,11.40,17,3,2,1,1,0,1,4,-3,5,5,1,1,27,19,0,0,2
111,08019,08,24,25,29,31,04,05,117,23.40,27,3,2,1,2,1,4,1,3,5,6,1,1,23,16,0,0,3
112,08020,04,05,15,17,33,04,08,74,14.80,24,4,1,3,3,0,1,4,-3,4,6,1,1,29,16,0,0,0
113,08021,05,10,13,21,24,04,09,73,14.60,13,3,2,1,1,0,2,3,-1,5,3,0,0,19,8,0,1,1
114,08022,09,12,13,25,31,08,10,90,18.00,20,4,1,3,2,0,2,3,-1,5,6,1,1,22,12,1,1,3
115,08023,06,26,31,32,34,07,10,129,25.80,19,1,4,-3,0,2,4,1,3,4,6,1,1,28,20,0,1,2
116,08024,08,12,17,20,30,01,02,87,17.40,17,1,4,-3,0,2,2,3,-1,4,6,0,0,22,10,0,0,1
117,08025,06,10,12,15,28,04,12,71,14.20,21,1,4,-3,0,2,1,4,-3,5,6,0,0,22,13,0,1,0
118,08026,01,21,22,24,25,08,10,93,18.60,13,3,2,1,1,1,4,1,3,4,4,2,2,24,20,0,0,0
119,08027,05,17,23,31,32,04,08,108,21.60,18,4,1,3,3,0,3,2,1,5,6,1,1,27,12,0,0,1
120,08028,03,11,17,19,26,07,12,76,15.20,26,4,1,3,3,0,2,3,-1,5,5,0,0,23,8,0,1,0
121,08029,06,11,18,29,30,04,11,94,18.80,24,2,3,-1,0,0,3,2,1,5,5,1,1,24,11,1,1,1
122,08030,03,21,23,26,35,05,08,108,21.60,18,4,1,3,2,0,4,1,3,4,6,0,0,32,18,0,0,0
123,08031,14,20,23,27,28,02,04,112,22.40,22,2,3,-1,1,1,4,1,3,5,6,1,1,14,6,1,1,2
124,08032,03,09,19,27,33,09,10,91,18.20,31,5,0,5,4,0,3,2,1,3,4,0,0,30,10,1,1,2
125,08033,03,10,21,23,30,01,09,87,17.40,7,3,2,1,1,0,3,2,1,3,4,0,0,27,11,1,1,1
126,08034,06,07,18,34,35,05,10,100,20.00,30,2,3,-1,0,1,3,2,1,5,4,2,2,29,16,0,0,0
127,08035,02,12,13,29,30,05,07,86,17.20,16,2,3,-1,1,1,2,3,-1,4,4,2,2,28,16,0,0,0
128,08036,09,19,22,30,32,01,10,112,22.40,22,2,3,-1,1,2,4,1,3,3,4,0,0,23,10,0,1,1
129,08037,11,20,24,31,35,04,10,121,24.20,11,3,2,1,1,1,4,1,3,4,4,0,0,24,9,0,0,2
130,08038,12,13,19,32,33,02,10,109,21.80,19,3,2,1,1,0,3,2,1,3,4,2,2,21,13,0,0,3
131,08039,07,11,15,27,35,04,07,95,19.00,25,5,0,5,4,0,2,3,-1,3,3,0,0,28,12,0,0,1
132,08040,04,08,19,22,29,08,11,82,16.40,32,2,3,-1,0,1,3,2,1,4,6,0,0,25,11,0,0,1
133,08041,07,17,21,22,28,05,10,95,19.00,25,3,2,1,2,1,3,2,1,4,6,1,1,21,10,1,1,3
134,08042,05,10,13,32,35,04,05,95,19.00,15,3,2,1,0,0,2,3,-1,4,4,0,0,30,19,0,0,0
135,08043,05,08,10,31,33,02,04,87,17.40,17,3,2,1,1,1,2,3,-1,5,4,0,0,28,21,1,2,2
136,08044,02,21,23,27,32,10,11,105,21.00,15,3,2,1,2,0,4,1,3,4,6,0,0,30,19,0,0,1
137,08045,14,32,33,34,35,02,04,148,29.60,18,2,3,-1,0,1,4,1,3,4,3,3,1,21,18,0,1,1
138,08046,11,25,26,27,35,07,08,124,24.80,24,4,1,3,2,0,4,1,3,4,5,2,1,24,14,1,1,1
139,08047,12,18,22,23,30,06,12,105,21.00,15,1,4,-3,0,2,4,1,3,4,6,1,1,18,7,0,0,1
140,08048,01,13,22,25,27,02,10,88,17.60,18,4,1,3,2,0,3,2,1,5,5,0,0,26,12,1,1,2
141,08049,01,11,14,28,30,03,10,84,16.80,14,2,3,-1,1,2,2,3,-1,4,6,0,0,29,14,1,1,2
142,08050,01,05,11,26,27,03,07,70,14.00,20,4,1,3,2,0,2,3,-1,4,6,1,1,26,15,1,2,1
143,08051,01,07,09,11,33,03,11,61,12.20,21,5,0,5,4,0,1,4,-3,4,5,0,0,32,22,1,2,0
144,08052,03,18,19,30,35,05,09,105,21.00,25,3,2,1,0,0,4,1,3,5,5,1,1,32,15,0,0,0
145,08053,01,13,21,23,32,03,06,90,18.00,10,4,1,3,3,0,3,2,1,3,6,0,0,31,12,0,0,0
146,08054,05,14,23,31,35,02,06,108,21.60,18,4,1,3,2,0,3,2,1,4,5,0,0,30,9,0,1,2
147,08055,02,14,28,30,35,04,12,109,21.80,19,1,4,-3,0,3,3,2,1,5,6,0,0,33,14,2,2,1
148,08056,15,19,25,30,31,03,09,120,24.00,20,4,1,3,2,0,4,1,3,4,5,1,1,16,6,1,1,2
149,08057,05,08,09,17,33,05,06,72,14.40,32,4,1,3,2,0,1,4,-3,5,6,1,1,28,16,0,0,0
150,08058,03,09,11,29,33,03,12,85,17.00,25,5,0,5,4,0,2,3,-1,3,6,0,0,30,18,1,2,1
151,08059,07,13,21,25,31,08,10,97,19.40,17,5,0,5,4,0,3,2,1,4,4,0,0,24,8,0,0,0
152,08060,03,13,17,23,30,01,11,86,17.20,16,4,1,3,3,0,2,3,-1,3,5,0,0,27,10,1,1,1
153,08061,07,10,14,19,32,03,06,82,16.40,22,2,3,-1,0,1,2,3,-1,5,6,0,0,25,13,0,0,1
154,08062,01,15,27,28,29,03,10,100,20.00,30,4,1,3,2,0,3,2,1,5,4,2,1,28,14,0,0,1
155,08063,07,11,24,30,35,06,08,107,21.40,17,3,2,1,1,1,3,2,1,5,6,0,0,28,13,0,0,1
156,08064,14,18,24,27,31,06,07,114,22.80,24,2,3,-1,1,2,4,1,3,4,4,0,0,17,6,1,1,1
157,08065,19,22,23,25,32,06,12,121,24.20,21,3,2,1,1,0,5,0,5,4,5,1,1,13,7,0,0,4
158,08066,02,07,21,22,25,04,12,77,15.40,17,3,2,1,1,0,3,2,1,4,6,1,1,23,14,0,2,2
159,08067,03,10,14,15,22,04,07,64,12.80,14,2,3,-1,0,1,1,4,-3,5,4,1,1,19,7,0,1,2
160,08068,06,09,11,33,34,06,10,93,18.60,23,3,2,1,2,0,2,3,-1,5,6,1,1,28,22,0,0,2
161,08069,05,13,16,29,33,06,08,96,19.20,26,4,1,3,2,0,2,3,-1,4,6,0,0,28,13,0,1,2
162,08070,09,17,18,21,31,01,05,96,19.20,26,4,1,3,2,0,3,2,1,4,6,1,1,22,10,0,0,1
163,08071,01,05,11,14,25,01,09,56,11.20,16,4,1,3,2,0,1,4,-3,3,6,0,0,24,11,0,0,0
164,08072,10,25,32,33,34,03,09,134,26.80,14,2,3,-1,0,0,4,1,3,5,5,2,1,24,15,0,1,1
165,08073,02,05,06,07,31,08,10,51,10.20,21,3,2,1,1,0,1,4,-3,5,5,2,1,29,24,0,0,1
166,08074,10,13,22,31,35,04,12,111,22.20,11,3,2,1,1,0,3,2,1,5,5,0,0,25,9,0,1,0
167,08075,01,10,13,30,33,06,07,87,17.40,7,3,2,1,0,0,2,3,-1,3,4,0,0,32,17,0,2,1
168,08076,03,05,10,27,34,01,12,79,15.80,19,3,2,1,1,0,2,3,-1,5,4,0,0,31,17,0,1,1
169,08077,01,08,21,33,34,05,07,97,19.40,17,3,2,1,1,0,3,2,1,4,5,1,1,33,13,1,1,1
170,08078,08,17,20,28,31,07,11,104,20.80,24,2,3,-1,0,1,3,2,1,4,4,0,0,23,9,0,1,1
171,08079,20,23,26,32,33,05,12,134,26.80,14,2,3,-1,0,1,5,0,5,4,4,1,1,13,6,0,1,1
172,08080,06,09,29,31,33,05,11,108,21.60,28,4,1,3,3,0,3,2,1,4,5,0,0,27,20,1,1,2
173,08081,07,08,20,22,29,04,07,86,17.20,26,2,3,-1,0,2,3,2,1,5,6,1,1,22,12,0,1,2
174,08082,15,19,29,33,35,01,02,131,26.20,31,5,0,5,4,0,4,1,3,3,4,0,0,20,10,0,1,1
175,08083,06,14,15,30,31,03,10,96,19.20,16,2,3,-1,0,1,2,3,-1,5,4,2,2,25,15,0,1,2
176,08084,02,17,20,22,25,05,11,86,17.20,16,2,3,-1,0,1,3,2,1,4,4,0,0,23,15,0,0,0
177,08085,03,07,13,15,19,02,10,57,11.40,27,5,0,5,4,0,1,4,-3,4,3,0,0,16,6,0,0,2
178,08086,01,06,10,22,35,03,07,74,14.80,14,2,3,-1,0,2,2,3,-1,5,6,0,0,34,13,0,0,1
179,08087,14,22,32,33,35,01,05,136,27.20,16,2,3,-1,1,2,4,1,3,4,6,1,1,21,10,1,2,0
180,08088,07,11,19,27,31,02,03,95,19.00,25,5,0,5,4,0,3,2,1,3,2,0,0,24,8,0,0,1
181,08089,08,13,24,32,33,03,09,110,22.00,20,2,3,-1,0,1,3,2,1,4,6,1,1,25,11,0,0,2
182,08090,04,11,18,33,34,02,06,100,20.00,20,2,3,-1,0,0,3,2,1,4,5,1,1,30,15,0,1,2
183,08091,09,13,19,22,25,04,10,88,17.60,28,4,1,3,2,0,3,2,1,4,4,0,0,16,6,0,0,1
184,08092,03,23,26,32,34,04,09,118,23.60,18,2,3,-1,1,2,4,1,3,4,6,0,0,31,20,0,0,2
185,08093,06,07,10,24,30,05,08,77,15.40,17,1,4,-3,0,2,2,3,-1,4,6,1,1,24,14,0,0,1
186,08094,07,12,19,27,34,11,12,99,19.80,29,3,2,1,1,0,3,2,1,4,4,0,0,27,8,0,1,1
187,08095,03,04,11,21,25,01,07,64,12.80,14,4,1,3,2,0,2,3,-1,4,6,1,1,22,10,0,0,1
188,08096,06,07,12,25,28,02,12,78,15.60,28,2,3,-1,0,0,2,3,-1,5,6,1,1,22,13,0,1,1
189,08097,01,10,31,33,35,03,10,110,22.00,10,4,1,3,2,0,3,2,1,4,5,0,0,34,21,0,0,0
190,08098,07,10,22,27,33,04,08,99,19.80,19,3,2,1,1,1,3,2,1,4,6,0,0,26,12,1,2,0
191,08099,03,18,23,25,30,06,10,99,19.80,19,3,2,1,1,0,4,1,3,4,4,0,0,27,15,0,0,1
192,08100,12,20,26,29,30,02,06,117,23.40,17,1,4,-3,0,2,4,1,3,4,6,1,1,18,8,1,1,2
193,08101,10,13,23,31,33,04,11,110,22.00,10,4,1,3,3,0,3,2,1,3,5,0,0,23,10,0,0,2
194,08102,05,25,26,29,35,03,10,120,24.00,30,4,1,3,2,0,4,1,3,3,6,1,1,30,20,0,0,0
195,08103,02,11,22,30,34,04,09,99,19.80,9,1,4,-3,0,2,3,2,1,4,6,0,0,32,11,0,0,2
196,08104,07,08,10,24,34,08,11,83,16.60,23,1,4,-3,0,3,2,3,-1,4,6,1,1,27,14,1,1,1
197,08105,12,21,22,26,35,04,05,116,23.20,16,2,3,-1,0,1,4,1,3,4,4,1,1,23,9,0,0,1
198,08106,03,05,21,28,33,02,06,90,18.00,20,4,1,3,2,0,3,2,1,4,6,0,0,30,16,0,1,1
199,08107,01,02,13,15,16,04,09,47,9.40,17,3,2,1,1,0,0,5,-5,5,4,2,2,15,11,0,0,1
200,08108,11,16,24,29,32,09,11,112,22.40,22,2,3,-1,0,1,3,2,1,5,3,0,0,21,8,0,1,1
201,08109,01,10,18,28,34,05,08,91,18.20,21,1,4,-3,0,3,3,2,1,4,6,0,0,33,10,0,0,2
202,08110,05,16,25,27,33,04,09,106,21.20,26,4,1,3,2,0,3,2,1,4,5,0,0,28,11,0,0,2
203,08111,02,11,12,14,19,05,09,58,11.60,18,2,3,-1,0,1,1,4,-3,4,6,1,1,17,9,0,0,0
204,08112,04,18,26,32,33,05,08,113,22.60,23,1,4,-3,0,3,4,1,3,5,5,1,1,29,14,0,0,1
205,08113,11,14,17,19,22,01,08,83,16.60,23,3,2,1,1,0,2,3,-1,5,2,0,0,11,3,0,0,2
206,08114,02,03,22,27,31,06,07,85,17.00,15,3,2,1,1,0,3,2,1,4,6,1,1,29,19,0,1,0
207,08115,07,09,19,21,33,07,10,89,17.80,29,5,0,5,4,0,3,2,1,4,2,0,0,26,12,0,0,1
208,08116,06,08,15,24,31,01,03,84,16.80,24,2,3,-1,0,1,2,3,-1,5,3,0,0,25,9,0,0,2
209,08117,13,23,24,25,30,02,08,115,23.00,15,3,2,1,1,0,4,1,3,4,5,2,1,17,10,0,1,3
210,08118,06,09,19,25,30,06,12,89,17.80,29,3,2,1,2,0,3,2,1,4,6,0,0,24,10,2,2,1
211,08119,01,02,10,19,27,01,11,59,11.80,19,3,2,1,1,1,2,3,-1,5,3,1,1,26,9,0,1,1
212,08120,21,23,24,25,32,03,04,125,25.00,15,3,2,1,1,0,5,0,5,5,4,2,1,11,7,0,0,0
213,08121,11,23,24,32,35,04,10,125,25.00,15,3,2,1,1,1,4,1,3,5,5,1,1,24,12,2,3,2
214,08122,03,06,12,20,29,09,12,70,14.00,20,2,3,-1,0,2,2,3,-1,5,4,0,0,26,9,0,0,1
215,08123,01,06,12,28,31,08,09,78,15.60,18,2,3,-1,0,2,2,3,-1,4,6,0,0,30,16,2,2,1
216,08124,02,10,13,29,33,06,10,87,17.40,17,3,2,1,2,1,2,3,-1,4,6,0,0,31,16,0,0,3
217,08125,01,04,28,33,34,06,11,100,20.00,20,2,3,-1,0,1,3,2,1,4,6,1,1,33,24,0,1,3
218,08126,09,29,32,34,35,01,08,139,27.80,29,3,2,1,1,1,4,1,3,4,5,1,1,26,20,0,1,4
219,08127,08,21,22,31,33,01,07,115,23.00,15,3,2,1,1,0,4,1,3,4,6,1,1,25,13,0,0,3
220,08128,12,15,23,24,25,10,11,99,19.80,19,3,2,1,1,0,3,2,1,4,5,2,1,13,8,0,0,1
